SiteDataTypeID,ParentID,IsFolder,SortOrder,Source,Name,SiteName,Units,TimeInterval,Parameter,TableName,FileIndex,Provider,ConnectionString,Expression,Notes
System.Int32,System.Int32,System.Boolean,System.Int32,System.String,System.String,System.String,System.String,System.String,System.String,System.String,System.Int32,System.String,System.String,System.String,System.String
375,373,False,119,cr10x,Max Battery,Ashland Creek,volts,Irregular,,ASH_CRK_119,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=6,,
376,373,False,120,cr10x,Min Battery,Ashland Creek,volts,Irregular,,ASH_CRK_120,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=8,,
377,373,False,121,cr10x,Average Divr_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_121,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=10,,
378,373,False,122,cr10x,Max Divr_ HGT,Ashland Creek,feet,Irregular,,ASH_CRK_122,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=11,,
379,373,False,123,cr10x,Min Divr_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_123,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=13,,
380,373,False,124,cr10x,Average Divr_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_124,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=15,,
381,373,False,125,cr10x,Max Divr_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_125,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=16,,
382,373,False,126,cr10x,Min Divr_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_126,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=18,,
383,373,False,127,cr10x,Average Creek_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_127,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=20,,
384,373,False,128,cr10x,Max Creek_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_128,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=21,,
385,373,False,129,cr10x,Min Creek_HGT,Ashland Creek,feet,Irregular,,ASH_CRK_129,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=23,,
386,373,False,130,cr10x,Average Creek_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_130,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=25,,
387,373,False,131,cr10x,Max Creek_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_131,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=26,,
388,373,False,132,cr10x,Min Creek_Cfs,Ashland Creek,cfs,Irregular,,ASH_CRK_132,0,Cr10xSeries,FileName=c:\pc208w\bin\ASH_CRK.DAT;interval=24;ColumnNumber=28,,
